id,company,type,plot,stage,industrial,locality,city,state,country
1,"Ananda Metal  corpn,",battery,C-81,3rd Stage,Peenya Industrial Estate,,Bangalore,Karnataka,India
2,"Anitha Industries (P) Ltd, ",battery,3,2nd Stage,Industrial Estate,Antharasanahalli,Tumkur,Karnataka,India
3,B.T. Solders (P) Ltd.,battery,89,,Belagola  Industrial Area,,Mysore,Karnataka,India
4,Balaji Smelters &Alloys ,battery,138/P9,,,"Hulimangala, Hoskote Village,  Lakkur Hobli,Malur Taluk",Kolar,Karnataka,India
5,"Chloride Alloys  India Ltd,",battery,60/1 & 2,,Malur Indl.  Area,"Seethanayakanahalli, Malur Taluk",Kolar,Karnataka,India
6,Eshwari Metal  Industries,battery,101-A,,Baikampady Indl. Area,Baikampady,Mangalore,Karnataka,India
7,Evershine Smelting Alloy(P) Ltd,battery,15-C,Zone-2,Attibele Industrial Area,Anekal Taluk,Bangalore,Karnataka,India
8,GN Industries,battery,490-D,IV Phase,,Peenya Industrial Area,Bangalore,Karnataka,India
9,Jayvel Enterprises,battery,26A,,KIADB Indl. Area,Malur,Kolar,Karnataka,India
10,Maharanjani Metal  Mart,battery,,,KIADB Indl. Area,Malur,Kolar,Karnataka,India
11,Anantha Lead (Aishwarya Metal Refineries),lead,148-150,,IDA-Medchal,,Rangareddy,Andhra Pradesh,India
12,NILE Ltd,lead,,,Panthangi Village,Choutuppal Mandal,Nalgonda,Andra Pradesh,India
13,S. K. Metal Industries,lead,1,,,Veraval,Rajkot,Gujarat,India
14,Om Enterprises,lead,B-9,3rd Stage,Prem Colony,Kundli,Sonepat,Haryana,India
15,Ananda Metal Corporation,lead,C-81,,Peenya Industrial Estate,Peenya,Bangalore,Karnataka,India
16,Eswari Metal Industries,lead,Flat No. 101,,Bikampadi Industrial Area,Bikampadi,Mangalore,Karnataka,India
17,Hemalata Metal Mart,lead,65-B,,Penya Industrial Estate,Peenya 3rd Stage,Bangalore,Karnataka,India
18,Sri Saraswati Metal Industries,lead,B-40,,"Veerasandra, Industrial Estate",Anekal,Bangalore,karnataka,India
19,Ganpati Metals,lead,Survey No. 308,,Gram Manglia,A.B. Road,Indore,Madhya Pradesh,India
20,M.S. Metals,lead,300,,"Sector-F, Industrial Estate",Sanwar Road,Indore,Madhya Pradesh,India
21,Manoj Industries,lead,15-16 D,,"Sector-C, Industrial Estate",Sanwar Road,Indore,Madhya Pradesh,India
22,Power Pack Industries,lead,32/D,,Light Industrial Area,,Bhilai,Madhya Pradesh,India
23,Hans Enterprises,lead,1,Meera,"Golani Complex, Opp Syndicate Bank,Vasai"," Off Vasai Vajreshwari Road, Waliv, ",Thane,Maharashtra,India
24,Indian Lead Limited,lead,L.B.S. Marg,,, Majiwada,Thane,Maharashtra,India
25,"Maharashtra Lead Pvt. Ltd.Dist. Pune, Maharashtra.",lead,517/518,,Aalandi Markal Road,"Village Solu, Taluka Khed",Pune,Maharashtra,India
26,N. V. Metals & Alloys,lead,270/72,,Annapurna Niwas,Jagannath Shankar Seth Road,Mumbai,Maharashtra,India
